===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	183:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	184:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	185:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	186:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	187:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	188:	800a  	  8006 D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	189:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	190:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	191:	800a  	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	192:	8006 D	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	193:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	194:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	195:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	196:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	197:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	198:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	199:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	200:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	201:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	202:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	203:	800a  	  8027 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	204:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	205:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	206:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	207:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	208:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	209:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	210:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	211:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
